country,n,pearson_r_log10gdp_life,pearson_pvalue,spearman_r_gdp_life,spearman_pvalue
Ghana,16,0.39745546897438655,0.1273909515182523,0.4911764705882353,0.053350435677943356
Greece,16,0.33615172482360683,0.20302731766435736,0.3382352941176471,0.20006555877868962
Grenada,16,-0.39320957124476663,0.13188248694080712,-0.06764705882352941,0.8034203137966691
Guatemala,16,0.4131823083960386,0.11167599996065808,0.7029411764705883,0.002386952669300933
Guinea,16,0.26989525938737,0.3120499623909573,0.5036824313702083,0.0466864186485566
Guinea-Bissau,16,0.25600508315897175,0.3385502110296542,0.5676470588235295,0.02181459214374292
Guyana,16,0.4015766398876333,0.12313344167393889,0.5055281329427955,0.045758172880121586
Haiti,16,-0.21632122760780648,0.42099806996553324,0.1162619887967889,0.6680807907616779
Honduras,16,0.6029806849020451,0.013416425548065443,0.8617647058823529,1.7805184419815055e-05
Hungary,16,0.4333750598878188,0.09355783998199166,0.5802657250288366,0.018448306163767327
Iceland,16,-0.056918124417635274,0.8341572169209277,-0.15599709889189395,0.5639916710735264
India,16,0.3838521768748091,0.14216284345143337,0.7382352941176471,0.0010928508118481519
Indonesia,16,0.49367725072210156,0.051964685443291206,0.6588235294117648,0.0055114223363436875
Iraq,12,0.14246540265547494,0.6587177488249696,0.41331061631962435,0.1817214774016019
Ireland,16,0.15433983778160687,0.5681905997465453,0.22058823529411767,0.4116664304979635
Israel,16,0.022929647650646687,0.9328267749181232,0.37610783106938356,0.15107374228979498
Italy,16,0.3567525378916384,0.17497377164136627,0.351729307878893,0.18156308077297675
Jamaica,16,-0.09889618871655405,0.7155660260788419,0.2911764705882353,0.27388704841914874
Japan,16,-0.4913817181721475,0.053235682546871665,-0.35346135534751466,0.17927285792318043
Jordan,16,-0.10927120166006257,0.6870663711393796,0.08529411764705883,0.7534650694747832
Kazakhstan,16,-0.05432105315503616,0.8416331306957733,0.19896879868010903,0.46005810575280903
Kenya,16,0.6550354833878513,0.005886249580373374,0.8874174587906799,4.542554034615984e-06
Kiribati,16,0.5036396764186611,0.04670808628940569,0.869757409859522,1.1998127167586441e-05
Kuwait,16,0.5815666186251698,0.018125636684284824,0.6789403533966843,0.0038272262387032538
Latvia,16,-0.13422021882904467,0.6201888059768272,-0.02503684600378229,0.9266684786803481
Lebanon,16,-0.27472070618184136,0.30313681688321065,0.22730782062195778,0.3971948595153084
Lesotho,16,0.2754762771151659,0.30175494746350173,0.5036824313702083,0.0466864186485566
Liberia,16,0.33929872796699845,0.1985647580716744,0.6176470588235293,0.010787984601948835
Libya,12,0.31156222600655414,0.3242253078515108,0.34676060182748136,0.2694793884630332
Lithuania,16,0.14435878150449247,0.5937549400739132,0.3468658301698706,0.18809657613905673
Luxembourg,16,-0.008125549456092701,0.9761740203103998,0.033219138638902496,0.9027956335022707
Madagascar,16,-0.029907918356623167,0.9124482218196339,0.22352941176470587,0.40529834728275893
Malawi,16,0.5793900932875471,0.018667990854371975,0.6647058823529411,0.004967385937481994
Malaysia,16,0.09823561471899635,0.7173930210195565,0.27058823529411763,0.31076062710233504
Maldives,16,0.2915779132091772,0.27319571383629515,0.5588235294117647,0.02443651142450573
Mali,16,0.26855325631221516,0.314555746863601,0.7299486891545226,0.0013266261878299216
Malta,16,0.2105885022009784,0.4337066276954866,0.38235294117647056,0.14385924954389048
Mauritania,16,0.21029013622022202,0.4343733974345691,0.2268043696813219,0.39826955857544366
Mauritius,16,-0.04426352655364854,0.870699184258926,0.43952993591637773,0.08847836034792571
Mexico,16,0.10648668851482643,0.6946783878589757,0.3737112024520962,0.15390617152732908
Mongolia,16,0.8274862483848957,7.626367896458055e-05,0.8638707268824694,1.608476468949186e-05
Montenegro,16,0.712791403038664,0.001940992001552792,0.8270789582758906,7.744403334810157e-05
Morocco,16,-0.31193620596651955,0.23952782602796166,0.2058823529411765,0.44428464105214394
Mozambique,16,0.19064589012506727,0.47940927277986095,0.5224431142134185,0.03788099366495277
Myanmar,16,0.4956214497042576,0.050905940382770506,0.788235294117647,0.0002864656823918493
Namibia,16,0.08967479050625482,0.7411971109827713,0.5003680530494712,0.048388468881930206
Nepal,16,0.22400686543958465,0.40426954899569933,0.5176470588235293,0.04000179295956069
Netherlands,16,-0.5790102728229107,0.01876391110270039,0.19867555047552532,0.46073324422174877
New Zealand,16,0.06665291683730731,0.8062577577870406,0.13107525260803668,0.6284798998498581
Nicaragua,16,-0.21788571332102946,0.4175639306675243,0.020710421739487853,0.9393163294754321
Niger,16,0.2952178347735103,0.2669757234538004,0.6857985668266281,0.003358762964011333
Nigeria,16,0.6006172902649511,0.013883152375648243,0.6617647058823529,0.005233753301327506
Norway,16,-0.17386571035956477,0.5195868760555461,-0.13640036700514852,0.6144662543451846
Oman,16,0.3895212379404026,0.13587159102072657,0.5411764705882353,0.030400218888170214
Pakistan,16,0.21333609440571313,0.42759124870956255,0.5088235294117647,0.04413521823498383
Panama,16,0.4257464147465486,0.10013736414790401,0.6445455771659632,0.007031308716454422
Papua New Guinea,15,-0.0959545944955485,0.7337237912761166,-0.049999999999999996,0.859540943467457
Paraguay,16,0.28139323728088284,0.29106248449056377,0.5470588235294118,0.028301087242108842
Peru,16,0.18394057618713933,0.49528081988604233,0.478292991885524,0.06092686390048615
Philippines,16,0.5842728309130572,0.017468435284275965,0.8047478161629564,0.00017011857327159992
Poland,16,0.29158898856291465,0.2731766557187799,0.488235294117647,0.05501502977813759
Portugal,16,-0.0886184212465013,0.7441502224910453,0.19117647058823528,0.47816401281702825
Qatar,16,0.30536966867894966,0.2500890919110867,0.5359665807881254,0.03235654845664015
Romania,16,-0.17339475141503047,0.5207362798959845,-0.10456565095697308,0.6999459602259323
Russian Federation,16,0.5744617190814956,0.019942540951320562,0.6460634567315231,0.0068554719708896
Rwanda,16,-0.009304149902335968,0.9727192135286433,0.07647058823529412,0.7783409809607029
Samoa,16,-0.19462184867503574,0.47011616393180367,0.0927836057787226,0.7325260865203346
Sao Tome and Principe,15,0.3725992951340622,0.17139355197383171,0.5821428571428571,0.022793687126414258
Saudi Arabia,16,-0.040053720369394405,0.8829137550683464,0.07069227106950293,0.7947432267255311
Senegal,16,-0.47833836175878813,0.0608988693979509,-0.2823529411764706,0.2893498290632739
Serbia,16,0.13704959554153628,0.612766131244379,0.46312885865014286,0.07082407561158886
Seychelles,16,-0.08175894225279354,0.76340584993037,0.11887715860358199,0.6610259984003256
Sierra Leone,16,-0.06889400329948273,0.7998645848489885,0.1780721600558412,0.5093726614235989
Singapore,16,0.42354930778459954,0.10209150419006874,0.6019133344036285,0.013625661575520583
