year,mean_life_expectancy,mean_gdp,mean_life_expectancy_pct_change,mean_gdp_pct_change
2000,66.91558441558442,4708.5151912941565,,
2001,67.26838709677419,4854.527638345161,0.527235447872143,3.1010295415628164
2002,67.50064516129032,4599.303043224516,0.345270749812987,-5.257454774892323
2003,67.6,4774.835677072258,0.1471909468009791,3.8165050704003667
2004,67.8576923076923,6990.977115743589,0.3812016385980943,46.412936246429794
2005,68.48717948717949,7242.188793119872,0.9276578057397789,3.5933700428021353
2006,68.95769230769231,7137.581641484613,0.6870086110071227,-1.444413486356999
2007,69.32820512820513,8394.31361918205,0.5373045531448017,17.60725187916783
2008,69.54935897435898,10138.586373822434,0.3189954878319412,20.779218334832095
2009,70.0397435897436,7034.445254433973,0.7050886199618356,-30.61709990855602
2010,70.14999999999999,7267.414185779486,0.15741977997838497,3.3118308966676
2011,70.7525641025641,9090.147368511536,0.8589652210464704,25.080904103397383
2012,71.10714285714286,10102.012163558438,0.5011532219026948,11.131445443360178
2013,71.23548387096774,7903.509936847095,0.18048962265677648,-21.763013062309756
2014,71.5,9402.21313660645,0.37132635964316485,18.962501619340344
2015,71.69025974025973,7180.419178861038,0.26609753882480547,-23.63054235704474
