Variable,Count,Mean,Median,Std,Min,Max,Skewness
GDP,2485,7303.24273927195,1764.97387,13253.426973310608,1.68135,65589.98727919986,2.6575256696588854
log10(GDP),2485,3.2421650473194004,3.246738280149442,0.8139041386225254,0.22565812822033265,4.81683754667313,-0.17082627090320404
Life Expectancy,2485,69.37066398390341,72.2,9.645918333729396,36.3,89.0,-0.6512036594355926
