region,n_countries,n_observations,pearson_r,pearson_pvalue,spearman_r,spearman_pvalue
Asia,33,524,0.6376560902303042,3.800205637531346e-61,0.6479177867868819,1.0580871979122878e-63
Europe,34,544,0.40454852771517025,7.755453287830493e-23,0.45052425979820326,1.504060207331621e-28
Africa,45,691,0.3233696563803021,2.773280554585493e-18,0.3209597484746522,5.0743423832094936e-18
Americas,26,416,0.3519989366565393,1.405469420805769e-13,0.33040338663719804,4.7194177328883716e-12
Oceania,9,143,0.6011263812998374,2.057200625092436e-15,0.6028983557388269,1.6202806405635199e-15
