country,avg_life_expectancy,avg_gdp
Mozambique,53.39375,365.06823808125
Nigeria,51.35625,1360.13987746875
Swaziland,51.325,2165.0908375
Zimbabwe,50.4875,410.98019376875
Chad,50.3875,484.79169405625
Malawi,49.89375,237.50404201875
Angola,49.01875,1975.14304511875
Lesotho,48.78125,794.5230103125
Central African Republic,48.5125,363.05590485
Sierra Leone,46.1125,271.50556128125
