model,rmse_cv,rmse_test,r2_test
RandomForest,2.018686798195271,1.8095705954605295,0.9691601021268857
Ridge,3.9480023048690436,3.783684711096581,0.8651683807251884
Linear,3.9427123909279054,3.7840711636028894,0.8651408368455359
Lasso,4.046285828893053,3.8302974987061695,0.8618258238645908
